Date,Year,Month,Day,Weekday,High,Low,Average,Close
9/25/2019,2019,9,25,3,2989.820068,2952.860107,2971.340088,2984.870117
9/26/2019,2019,9,26,4,2987.280029,2963.709961,2975.494995,2977.620117
9/27/2019,2019,9,27,5,2987.310059,2945.530029,2966.420044,2961.790039
9/30/2019,2019,9,30,1,2983.850098,2967.070068,2975.460083,2976.73999
10/1/2019,2019,10,1,2,2992.530029,2938.699951,2965.61499,2940.25
10/2/2019,2019,10,2,3,2924.780029,2874.929932,2899.854981,2887.610107
10/3/2019,2019,10,3,4,2911.129883,2855.939941,2883.534912,2910.629883
10/4/2019,2019,10,4,5,2953.73999,2918.560059,2936.150025,2952.01001
10/7/2019,2019,10,7,1,2959.75,2935.679932,2947.714966,2938.790039
10/8/2019,2019,10,8,2,2925.469971,2892.659912,2909.064942,2893.060059
10/9/2019,2019,10,9,3,2929.320068,2907.409912,2918.36499,2919.399902
10/10/2019,2019,10,10,4,2948.459961,2917.120117,2932.790039,2938.129883
10/11/2019,2019,10,11,5,2993.280029,2963.070068,2978.175049,2970.27002
10/14/2019,2019,10,14,1,2972.840088,2962.939941,2967.890015,2966.149902
10/15/2019,2019,10,15,2,3003.280029,2973.610107,2988.445068,2995.679932
10/16/2019,2019,10,16,3,2997.540039,2985.199951,2991.369995,2989.689941
10/17/2019,2019,10,17,4,3008.290039,2991.790039,3000.040039,2997.949951
10/18/2019,2019,10,18,5,3000,2976.310059,2988.15503,2986.199951
10/21/2019,2019,10,21,1,3007.330078,2995.350098,3001.340088,3006.719971
10/22/2019,2019,10,22,2,3014.570068,2995.040039,3004.805054,2995.98999
10/23/2019,2019,10,23,3,3004.780029,2991.209961,2997.994995,3004.52002
10/24/2019,2019,10,24,4,3016.070068,3000.419922,3008.244995,3010.290039
10/25/2019,2019,10,25,5,3027.389893,3001.939941,3014.664917,3022.550049
10/28/2019,2019,10,28,1,3044.080078,3032.120117,3038.100098,3039.419922
10/29/2019,2019,10,29,2,3047.870117,3034.810059,3041.340088,3036.889893
10/30/2019,2019,10,30,3,3050.100098,3025.959961,3038.03003,3046.77002
10/31/2019,2019,10,31,4,3046.899902,3023.189941,3035.044922,3037.560059
11/1/2019,2019,11,1,5,3066.949951,3050.719971,3058.834961,3066.909912
11/4/2019,2019,11,4,1,3085.199951,3074.870117,3080.035034,3078.27002
11/5/2019,2019,11,5,2,3083.949951,3072.149902,3078.049927,3074.620117
11/6/2019,2019,11,6,3,3078.340088,3065.889893,3072.114991,3076.780029
11/7/2019,2019,11,7,4,3097.77002,3080.22998,3089,3085.179932
11/8/2019,2019,11,8,5,3093.090088,3073.580078,3083.335083,3093.080078
11/11/2019,2019,11,11,1,3088.330078,3075.820068,3082.075073,3087.01001
11/12/2019,2019,11,12,2,3102.610107,3084.72998,3093.670044,3091.840088
11/13/2019,2019,11,13,3,3098.060059,3078.800049,3088.430054,3094.040039
11/14/2019,2019,11,14,4,3098.199951,3083.26001,3090.729981,3096.629883
11/15/2019,2019,11,15,5,3120.459961,3104.600098,3112.53003,3120.459961
11/18/2019,2019,11,18,1,3124.169922,3112.060059,3118.114991,3122.030029
11/19/2019,2019,11,19,2,3127.639893,3113.469971,3120.554932,3120.179932
11/20/2019,2019,11,20,3,3118.969971,3091.409912,3105.189942,3108.459961
11/21/2019,2019,11,21,4,3110.110107,3094.550049,3102.330078,3103.540039
11/22/2019,2019,11,22,5,3112.870117,3099.26001,3106.065064,3110.290039
11/25/2019,2019,11,25,1,3133.830078,3117.439941,3125.63501,3133.639893
11/26/2019,2019,11,26,2,3142.689941,3131,3136.844971,3140.52002
11/27/2019,2019,11,27,3,3154.26001,3143.409912,3148.834961,3153.629883
11/29/2019,2019,11,29,5,3150.300049,3139.340088,3144.820069,3140.97998
12/2/2019,2019,12,2,1,3144.310059,3110.780029,3127.545044,3113.870117
12/3/2019,2019,12,3,2,3094.969971,3070.330078,3082.650025,3093.199951
12/4/2019,2019,12,4,3,3119.379883,3102.530029,3110.954956,3112.76001
12/5/2019,2019,12,5,4,3119.449951,3103.76001,3111.604981,3117.429932
12/6/2019,2019,12,6,5,3150.600098,3134.620117,3142.610108,3145.909912
12/9/2019,2019,12,9,1,3148.870117,3135.459961,3142.165039,3135.959961
12/10/2019,2019,12,10,2,3142.120117,3126.090088,3134.105103,3132.52002
12/11/2019,2019,12,11,3,3143.97998,3133.209961,3138.594971,3141.629883
12/12/2019,2019,12,12,4,3176.280029,3138.469971,3157.375,3168.570068
12/13/2019,2019,12,13,5,3182.679932,3156.51001,3169.594971,3168.800049
12/16/2019,2019,12,16,1,3197.709961,3183.629883,3190.669922,3191.449951
12/17/2019,2019,12,17,2,3198.219971,3191.030029,3194.625,3192.52002
12/18/2019,2019,12,18,3,3198.47998,3191.139893,3194.809937,3191.139893
12/19/2019,2019,12,19,4,3205.47998,3192.320068,3198.900024,3205.370117
12/20/2019,2019,12,20,5,3225.649902,3216.030029,3220.839966,3221.219971
12/23/2019,2019,12,23,1,3227.780029,3222.300049,3225.040039,3224.01001
12/24/2019,2019,12,24,2,3226.429932,3220.51001,3223.469971,3223.379883
12/26/2019,2019,12,26,4,3240.080078,3227.199951,3233.640015,3239.909912
12/27/2019,2019,12,27,5,3247.929932,3234.370117,3241.150025,3240.02002
